Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2004-08-19 00:00:00-04:00,2.472122773210547,2.572490948053174,2.3722498936767993,2.4805288314819336,897427216,0.0,0.0
2004-08-20 00:00:00-04:00,2.4970913195361195,2.6965918992497553,2.4844838896751833,2.6775567531585693,458857488,0.0,0.0
2004-08-23 00:00:00-04:00,2.737876447567055,2.8053653421692903,2.6958506534308047,2.704502820968628,366857939,0.0,0.0
2004-08-24 00:00:00-04:00,2.749989796141945,2.758889019816328,2.5603778335504033,2.592515707015991,306396159,0.0,0.0
2004-08-25 00:00:00-04:00,2.59474033810248,2.6698936554112485,2.5680414820072377,2.620450496673584,184645512,0.0,0.0
2004-08-26 00:00:00-04:00,2.594492432297277,2.668656324625095,2.5873233120445915,2.6676676273345947,142572401,0.0,0.0
2004-08-27 00:00:00-04:00,2.6723648350876354,2.685220267763395,2.6127867057755947,2.6241583824157715,124826132,0.0,0.0
2004-08-30 00:00:00-04:00,2.602650891511266,2.6078430917504187,2.521813154220581,2.521813154220581,104429967,0.0,0.0
2004-08-31 00:00:00-04:00,2.5289822639113657,2.563838699759072,2.5255211129509902,2.530712366104126,98825037,0.0,0.0
2004-09-01 00:00:00-04:00,2.5388697746358977,2.5455445461533666,2.4639644786716532,2.4783029556274414,183633734,0.0,0.0
2004-09-02 00:00:00-04:00,2.452098661645818,2.5307121706387914,2.4459180016019935,2.5094516277313232,303810504,0.0,0.0
2004-09-03 00:00:00-04:00,2.4956087967671574,2.515138293794879,2.455312865939944,2.472369909286499,103538639,0.0,0.0
2004-09-07 00:00:00-04:00,2.4970915975934167,2.5215660018974173,2.4624822156970847,2.5111827850341797,117506800,0.0,0.0
2004-09-08 00:00:00-04:00,2.49041633795841,2.547028848022032,2.4844839169310973,2.528982162475586,100186120,0.0,0.0
2004-09-09 00:00:00-04:00,2.5346674729789918,2.539117084458438,2.4968442372196527,2.529229164123535,81620792,0.0,0.0
2004-09-10 00:00:00-04:00,2.511676737209856,2.634294138915772,2.5042603239383383,2.6038870811462402,174804764,0.0,0.0
2004-09-13 00:00:00-04:00,2.6360243771014695,2.680028273689668,2.6318218215784266,2.657531976699829,157628624,0.0,0.0
2004-09-14 00:00:00-04:00,2.6562966775601518,2.7687781817458452,2.6399800914421605,2.7561707496643066,217608605,0.0,0.0
2004-09-15 00:00:00-04:00,2.7331795345379253,2.823906123963232,2.7242793651843815,2.76877760887146,215279909,0.0,0.0
2004-09-16 00:00:00-04:00,2.7771827265018643,2.8627180706994904,2.7601256841437625,2.8174784183502197,186207345,0.0,0.0
2004-09-17 00:00:00-04:00,2.8286026788216603,2.9044973850250244,2.807095080850892,2.9044973850250244,190350817,0.0,0.0
2004-09-20 00:00:00-04:00,2.8911479020218933,3.0061016068552324,2.8866982903521397,2.95072603225708,213585582,0.0,0.0
2004-09-21 00:00:00-04:00,2.961850635519053,2.976930519174107,2.904992015129819,2.913149833679199,145262446,0.0,0.0
2004-09-22 00:00:00-04:00,2.902272488672941,2.958389467352989,2.887686717165655,2.9264986515045166,152344894,0.0,0.0
